,label,count,label_clean
484,amidase catalytic site,58954,amidase catalytic site
485,putative CheW interface,58804,chew interface
486,nucleic acid substrate binding site,58732,nucleic acid substrate binding site
487,NeuB binding interface,58714,neub binding interface
488,METAL: Magnesium 1; catalytic.,58705,metal: magnesium 1; catalytic
489,BINDING: NAD 1.,58670,binding: nad 1
490,CTC domain interface,58221,ctc domain interface
491,active site turn,57936,active site turn
492,oligonucleotide binding site,57792,oligonucleotide binding site
493,BINDING: NADP; via amide nitrogen.,57790,binding: nadp; via amide nitrogen
494,BINDING: Heme 4; covalent.,57036,binding: heme 4; covalent
495,putative interdomain interaction site,57014,interdomain interaction site
496,TMP-binding site,56916,tmp binding site
497,pyrophosphate binding site,56636,pyrophosphate binding site
498,tandem repeat interface,56371,tandem repeat interface
499,ATP Binding subdomain,56311,atp binding subdomain
500,candidate oxyanion hole,56305,candidate oxyanion hole
501,NodB motif,55948,nodb motif
502,chemical substrate binding pocket,55895,chemical substrate binding pocket
503,putative antibiotic binding site,55734,antibiotic binding site
504,P-loop,55554,p loop
505,cosubstrate binding site,55458,cosubstrate binding site
506,thioester formation/cholesterol transfer,55223,thioester formation/cholesterol transfer
507,dimerization interface 3.5A,55031,dimerization interface 35a
508,N-terminal plug,54952,n terminal plug
509,conserved cis-peptide bond,54949,conserved cis peptide bond
510,ATP binding pocket,54825,atp binding pocket
511,RPB3 interaction site,54798,rpb3 interaction site
512,active-site loop,54612,active site loop
513,METAL: Molybdate; via amide nitrogen.,54360,metal: molybdate; via amide nitrogen
514,Interface with L7/L12 ribosomal proteins,54183,interface with l7/l12 ribosomal proteins
515,L13 binding site,54164,l13 binding site
516,potential glutamine specificity residues,53820,potential glutamine specificity residues
517,beta subunit interface,53801,beta subunit interface
518,putative catalytic cysteine,53619,catalytic cysteine
519,SmpB-tmRNA interface,53525,smpb tmrna interface
520,G-loop,53365,g loop
521,stacking interactions,53356,stacking interactions
522,putative nucleic acid substrate binding site,53299,nucleic acid substrate binding site
523,K-X-D-G motif,53257,k x d g motif
524,CDP-binding sites,53236,cdp binding sites
525,CoA binding pocket,53180,coa binding pocket
526,METAL: Divalent metal cation; via carbamate group.,53060,metal: divalent metal cation; via carbamate group
527,NP_BIND: GMP.,52982,np_bind: gmp
528,Dimerization subdomain,52575,dimerization subdomain
529,16S/18S rRNA binding site,52554,16s/18s rrna binding site
530,putative L-Phe binding site,52427,l phe binding site
531,RPB10 interaction site,52415,rpb10 interaction site
532,Ligand Binding sites,52407,ligand binding sites
533,hydrophobic core,52291,hydrophobic core
534,DEAD box helicase motif,52215,dead box helicase motif
535,L7/L12 interface,52076,l7/l12 interface
536,METAL: Iron (heme 4 axial ligand); via tele nitrogen.,52012,metal: iron (heme 4 axial ligand); via tele nitrogen
537,RxxxH motif,51942,rxxxh motif
538,alphaNTD - beta' interaction site,51909,alphantd beta' interaction site
539,glutamase interaction surface,51903,glutamase interaction surface
540,ACT_SITE: Phosphothreonine intermediate.,51885,act_site: phosphothreonine intermediate
541,homohexamer interface,51626,homohexamer interface
542,intramolecular domain interface,51475,intramolecular domain interface
543,RPB11 interaction site,51419,rpb11 interaction site
544,Ca binding site,51384,ca binding site
545,putative thiostrepton binding site,51373,thiostrepton binding site
546,phosphorylation loop region,51119,phosphorylation loop region
547,AMP/PPi binding site,50973,amp/ppi binding site
548,diiron binding motif,50717,diiron binding motif
549,homotetrameric interface,50695,homotetrameric interface
550,putative substrate binding pocket,50683,substrate binding pocket
551,ACT_SITE: Schiff-base intermediate with acetaldehyde.,50553,act_site: schiff base intermediate with acetaldehyde
552,active site lid,50523,active site lid
553,putative GSH binding site (G-site),50042,gsh binding site (g site)
554,S component interface,50011,s component interface
555,IMP binding site,49945,imp binding site
556,SITE: Lowers pKa of active site Cys.,49800,site: lowers pka of active site cys
557,S18 interface,49719,s18 interface
558,BINDING: Dihydroxyacetone phosphate; via amide nitrogen.,49703,binding: dihydroxyacetone phosphate; via amide nitrogen
559,REGION: Dihydroxyacetone phosphate binding.,49703,region: dihydroxyacetone phosphate binding
560,Na+ binding site,49656,na+ binding site
561,putative substrate binding site 2,49649,substrate binding site 2
562,L21 binding site,49413,l21 binding site
563,NADP-binding site,49282,nadp binding site
564,ACT_SITE: O-isoaspartyl threonine intermediate.,49236,act_site: o isoaspartyl threonine intermediate
565,MOD_RES: O-AMP-tyrosine.,49113,mod_res: o amp tyrosine
566,ACT_SITE: Schiff-base intermediate with D-ribose 5-phosphate.,49098,act_site: schiff base intermediate with d ribose 5 phosphate
567,catalytic center binding site,48977,catalytic center binding site
568,ACT_SITE: Pros-phosphohistidine intermediate.,48962,act_site: pros phosphohistidine intermediate
569,pentamer interface,48815,pentamer interface
570,BINDING: GTP; via carbonyl oxygen.,48680,binding: gtp; via carbonyl oxygen
571,METAL: Iron (heme axial ligand); shared with second transmembrane subunit.,48670,metal: iron (heme axial ligand); shared with second transmembrane subunit
572,putative NAD binding site,48557,nad binding site
573,catalytic Zn binding site,48509,catalytic zn binding site
574,BINDING: Coenzyme A; via amide nitrogen.,48416,binding: coenzyme a; via amide nitrogen
575,homopentamer interface,48392,homopentamer interface
576,MOD_RES: FMN phosphoryl threonine.,48337,mod_res: fmn phosphoryl threonine
577,putative translocon binding site,48239,translocon binding site
578,putative Cu binding site,48225,cu binding site
579,putative DNA binding surface,48069,dna binding surface
580,alphaNTD - beta interaction site,48009,alphantd beta interaction site
581,N- and C-terminal domain interface,47742,n and c terminal domain interface
582,S9 interface,47740,s9 interface
583,BINDING: GTP.,47638,binding: gtp
584,METAL: Iron (heme 1 axial ligand); via tele nitrogen.,47632,metal: iron (heme 1 axial ligand); via tele nitrogen
585,shikimate binding site,47531,shikimate binding site
586,BINDING: Alpha-ketoisovalerate.,47491,binding: alpha ketoisovalerate
587,REGION: Alpha-ketoisovalerate binding.,47490,region: alpha ketoisovalerate binding
588,TRD-CR/TRD-CR interface,47351,trd cr/trd cr interface
589,BINDING: Spermidine.,47338,binding: spermidine
590,ATP-binding,47243,atp binding
591,putative peptide binding site,47212,peptide binding site
592,METAL: Iron 1 (heme b562 axial ligand).,47083,metal: iron 1 (heme b562 axial ligand)
593,partial ornithine binding site,47076,partial ornithine binding site
594,putative substrate binding site 1,47062,substrate binding site 1
595,mRNA/rRNA interface,46760,mrna/rrna interface
596,structural Zn2+ binding site,46677,structural zn2+ binding site
597,Metal ligand; Stabilizes partially closed conformation via electrostatic interaction with K330,46544,metal ligand; stabilizes partially closed conformation via electrostatic interaction with k330
598,Hydrogen bonds to substrate diphosphate,46544,hydrogen bonds to substrate diphosphate
599,Stabilizes fully closed conformation via electrostatic interaction with C-terminal carboxylate of IPP,46544,stabilizes fully closed conformation via electrostatic interaction with c terminal carboxylate of ipp
600,Stabilizes partially closed conformation via electrostatic interactions with K330,46544,stabilizes partially closed conformation via electrostatic interactions with k330
601,Metal ligand (via water),46544,metal ligand (via water)
602,BINDING: Cobalamin; via carbonyl oxygen.,46511,binding: cobalamin; via carbonyl oxygen
603,trigger factor interaction site,46507,trigger factor interaction site
604,cofactor binding site,46442,cofactor binding site
605,S13e-L30e interaction site,46406,s13e l30e interaction site
606,SITE: Important for autoinhibition of adenylyltransferase activity.,46305,site: important for autoinhibition of adenylyltransferase activity
607,METAL: Metal cation; via carbonyl oxygen.,46175,metal: metal cation; via carbonyl oxygen
608,METAL: Iron 2 (heme b566 axial ligand).,46173,metal: iron 2 (heme b566 axial ligand)
609,L23 interface,46150,l23 interface
610,putative C-terminal domain interface,46100,c terminal domain interface
611,METAL: Cobalt.,46062,metal: cobalt
612,regulatory protein interface,45830,regulatory protein interface
613,central domain interface,45812,central domain interface
614,effector binding site,45510,effector binding site
615,BINDING: FMN; via amide nitrogen and carbonyl oxygen.,45226,binding: fmn; via amide nitrogen and carbonyl oxygen
616,glutamine binding,44967,glutamine binding
617,purine monophosphate binding site,44878,purine monophosphate binding site
618,putative valine binding site,44702,valine binding site
619,ACT_SITE: Cysteine persulfide intermediate.,44688,act_site: cysteine persulfide intermediate
620,cleavage site,44674,cleavage site
621,Mg2+/Mn2+ binding site,44398,mg2+/mn2+ binding site
622,signal recognition particle (SRP54) interaction site,44272,signal recognition particle (srp54) interaction site
623,METAL: Zinc 2; via tele nitrogen; catalytic.,44258,metal: zinc 2; via tele nitrogen; catalytic
624,beta-clamp/translesion DNA polymerase binding surface,44256,beta clamp/translesion dna polymerase binding surface
625,uridine monophosphate binding site,44164,uridine monophosphate binding site
626,oxyanion strand,44074,oxyanion strand
627,trimerization site,43956,trimerization site
628,putative oligomer interface,43907,oligomer interface
629,Rpb1 (beta') - Rpb2 (beta) interaction site,43906,rpb1 (beta') rpb2 (beta) interaction site
630,protein-rRNA interface,43848,protein rrna interface
631,Iron coordination center,43752,iron coordination center
632,RPB1 interaction site,43733,rpb1 interaction site
633,METAL: Zinc; via tele nitrogen; shared with neighboring monomer.,43728,metal: zinc; via tele nitrogen; shared with neighboring monomer
634,oligomerization interface,43687,oligomerization interface
635,beta-clamp/clamp loader binding surface,43402,beta clamp/clamp loader binding surface
636,protein interface 1,43354,protein interface 1
637,S11 interface,43307,s11 interface
638,putative allosteric regulatory site,43302,allosteric regulatory site
639,Active Sites,43242,active sites
640,SITE: Contributes to substrate recognition.,43036,site: contributes to substrate recognition
641,SITE: Stabilizes the phosphoryl group.,43036,site: stabilizes the phosphoryl group
642,subunit interface,43012,subunit interface
643,ACT_SITE: Schiff-base intermediate with substrate.,42914,act_site: schiff base intermediate with substrate
644,MOD_RES: O-UMP-tyrosine.,42890,mod_res: o ump tyrosine
645,glycine-pyridoxal phosphate binding site,42878,glycine pyridoxal phosphate binding site
646,UDP-GlcNAc binding site,42535,udp glcnac binding site
647,product (indole) binding pocket,42497,product (indole) binding pocket
648,METAL: Iron 3.,42495,metal: iron 3
649,30S subunit binding site,42470,30s subunit binding site
650,MgATP binding site,42455,mgatp binding site
651,putative AMP binding site,42012,amp binding site
652,inhibitor site,41767,inhibitor site
653,ATP/Mg binding site,41735,atp/mg binding site
654,NEF interaction site,41616,nef interaction site
655,Cu(I) binding site,41410,cu(i) binding site
656,putative translocon interaction site,41387,translocon interaction site
657,putative functional site,41371,functional site
658,BINDING: cAMP 1.,41203,binding: camp 1
659,thiamine phosphate binding site,40893,thiamine phosphate binding site
660,BINDING: Ubiquinone.,40788,binding: ubiquinone
661,NADP+ binding site,40256,nadp+ binding site
662,putative effector binding pocket,40124,effector binding pocket
663,RodZ interaction site,40090,rodz interaction site
664,structural Zn binding site,39776,structural zn binding site
665,interdomain contacts,39752,interdomain contacts
666,METAL: Zinc 2; via pros nitrogen.,39734,metal: zinc 2; via pros nitrogen
667,25S rRNA binding site,39637,25s rrna binding site
668,METAL: Nickel-iron-sulfur (Ni-4Fe-4S).,39548,metal: nickel iron sulfur (ni 4fe 4s)
669,product binding site,39546,product binding site
670,BINDING: Heme.,39341,binding: heme
671,nucleophile elbow,39284,nucleophile elbow
672,HIT family signature motif,39247,hit family signature motif
673,CROSSLNK: Isoglutamyl lysine isopeptide (Lys-Gln) (interchain with Q-Cter in protein Pup).,39244,crosslnk: isoglutamyl lysine isopeptide (lys gln) (interchain with q cter in protein pup)
674,REGION: PEP binding.,39235,region: pep binding
675,BINDING: PEP.,39235,binding: pep
676,SITE: Transition state stablizer.,39231,site: transition state stablizer
677,"Mg2+ ligand, general acid: donates proton to leaving group, general base: activates water",38743,"mg2+ ligand, general acid: donates proton to leaving group, general base: activates water"
678,zinc-binding site,38725,zinc binding site
679,METAL: Magnesium 2; via carbonyl oxygen; catalytic.,38259,metal: magnesium 2; via carbonyl oxygen; catalytic
680,PHP Thumb interface,38203,php thumb interface
681,ring oligomerisation interface,38058,ring oligomerisation interface
682,putative substrate binding pocket (H-site),37999,substrate binding pocket (h site)
683,substrate (anthranilate) binding pocket,37997,substrate (anthranilate) binding pocket
684,turnover-facilitating residue,37912,turnover facilitating residue
685,8OG recognition residue,37903,8og recognition residue
686,BINDING: Coenzyme A.,37876,binding: coenzyme a
687,ribulose/triose binding site,37793,ribulose/triose binding site
688,pyridoxal 5'-phosphate binding pocket,37677,pyridoxal 5' phosphate binding pocket
689,General Acid/Base,37320,general acid/base
690,metal binding ligand (2nd metal),37187,metal binding ligand (2nd metal)
691,acid (promotes elimination of OH),37187,acid (promotes elimination of oh)
692,SITE: Important for activity.,36897,site: important for activity
693,ACT_SITE: AMP-threonine intermediate.,36896,act_site: amp threonine intermediate
694,Active site flap,36786,active site flap
695,delta subunit interface,36660,delta subunit interface
696,molybdopterin cofactor binding site,36527,molybdopterin cofactor binding site
697,Na binding site 1,36463,na binding site 1
698,METAL: Calcium; via carbonyl oxygen.,36443,metal: calcium; via carbonyl oxygen
699,Substrate-binding/catalytic site,36372,substrate binding/catalytic site
700,"MOD_RES: 2,3-didehydroalanine (Ser).",36345,"mod_res: 2,3 didehydroalanine (ser)"
701,substrate interface,36155,substrate interface
702,SITE: Critical for catalysis.,36110,site: critical for catalysis
703,Zn-binding sites,36032,zn binding sites
704,aminoacyl-tRNA interaction site (A-site),36022,aminoacyl trna interaction site (a site)
705,METAL: Iron (heme proximal ligand).,36008,metal: iron (heme proximal ligand)
706,putative protofilament interaction site,35909,protofilament interaction site
707,signature motif,35905,signature motif
708,putative allosteric binding site,35480,allosteric binding site
709,binuclear metal center,35471,binuclear metal center
710,ACT_SITE: Proton acceptor; specific for (S)-substrate epimerization.,35337,act_site: proton acceptor; specific for (s) substrate epimerization
711,ACT_SITE: Proton acceptor; specific for (R)-substrate epimerization.,35336,act_site: proton acceptor; specific for (r) substrate epimerization
712,alphaNTD homodimer interface,35127,alphantd homodimer interface
713,23S rRNA interaction site,35117,23s rrna interaction site
714,putative dimerization interface,34991,dimerization interface
715,streptomycin interaction site,34851,streptomycin interaction site
716,homotrimer interface,34574,homotrimer interface
717,tyrosyl radical,34445,tyrosyl radical
718,beta' and sigma factor interface,34279,beta' and sigma factor interface
719,allosteric site,34277,allosteric site
720,putative domain interface,34085,domain interface
721,intercalation triad,34080,intercalation triad
722,H2TH interface,34074,h2th interface
723,putative metal binding residues,34047,metal binding residues
724,CROSSLNK: 5-imidazolinone (Ala-Gly).,33818,crosslnk: 5 imidazolinone (ala gly)
725,putative reading head residues,33787,reading head residues
726,beta and beta' interface,33782,beta and beta' interface
727,active site region,33647,active site region
728,REGION: IMP binding.,33628,region: imp binding
729,BINDING: IMP.,33628,binding: imp
730,MOD_RES: 3-oxoalanine (Ser).,33546,mod_res: 3 oxoalanine (ser)
731,ACT_SITE: Schiff-base intermediate with substrate; via pyruvic acid.,33441,act_site: schiff base intermediate with substrate; via pyruvic acid
732,"Nucleophile, forms methylthioether with methyl group from SAM",33316,"nucleophile, forms methylthioether with methyl group from sam"
733,"Nucleophile, initiates reductive cleavage of S-S bond",33316,"nucleophile, initiates reductive cleavage of s s bond"
734,putative ParB Box II like motif,33310,parb box ii like motif
735,homodimer binding site,33085,homodimer binding site
736,SITE: Catalytically relevant.,33021,site: catalytically relevant
737,ACT_SITE: Proton donor; for transglycosylase activity.,32682,act_site: proton donor; for transglycosylase activity
738,3-fold/trimer interface,32682,3 fold/trimer interface
739,ACT_SITE: Acyl-ester intermediate; for transpeptidase activity.,32681,act_site: acyl ester intermediate; for transpeptidase activity
740,domain interaction interfaces,32524,domain interaction interfaces
741,Na binding site 2,32461,na binding site 2
742,heterotetramer interface,32395,heterotetramer interface
743,Tetramer interface,32305,tetramer interface
744,oligomeric interface,32134,oligomeric interface
745,4-fold oligomerization interface,32132,4 fold oligomerization interface
746,MOD_RES: O-(pantetheine 4'-phosphoryl)serine.,32120,mod_res: o (pantetheine 4' phosphoryl)serine
747,pore gating glutamate residue,32088,pore gating glutamate residue
748,16S rRNA interaction site,31992,16s rrna interaction site
749,purine nucleoside binding site,31983,purine nucleoside binding site
750,metal binding residues,31832,metal binding residues
751,KMSK motif region,31631,kmsk motif region
752,MPT binding site,31623,mpt binding site
753,BINDING: GMP.,31568,binding: gmp
754,GTPase/Zn-binding domain interface,31190,gtpase/zn binding domain interface
755,tetramerization interface,31185,tetramerization interface
756,iron-sulfur cluster,30711,iron sulfur cluster
757,FMN-binding site,30542,fmn binding site
758,MOD_RES: Pyruvic acid (Ser).,30496,mod_res: pyruvic acid (ser)
759,"general acid, sometimes general base, Mg2+ ligand",30358,"general acid, sometimes general base, mg2+ ligand"
760,CHAIN: Aspartate 1-decarboxylase beta chain.,30259,chain: aspartate 1 decarboxylase beta chain
761,diiron center,30211,diiron center
762,CPxP  motif,30180,cpxp motif
763,putative aspartate binding site,30066,aspartate binding site
764,DNA binding and oxoG recognition site,29931,dna binding and oxog recognition site
765,nucleotide binding site/active site,29822,nucleotide binding site/active site
766,CHAIN: Aspartate 1-decarboxylase alpha chain.,29752,chain: aspartate 1 decarboxylase alpha chain
767,core domain interface,29604,core domain interface
768,coenzyme A binding site,29576,coenzyme a binding site
769,BINDING: FAD; via carbonyl oxygen.,29555,binding: fad; via carbonyl oxygen
770,proximal heme binding site,29317,proximal heme binding site
771,SITE: Important for substrate specificity.,29174,site: important for substrate specificity
772,substrate interaction site,28741,substrate interaction site
773,putative homotetramer interface,28545,homotetramer interface
774,structural tetrad,28171,structural tetrad
775,UGI interface,28094,ugi interface
776,BINDING: L-threonine.,27991,binding: l threonine
777,BINDING: L-threonine; via carbonyl oxygen.,27987,binding: l threonine; via carbonyl oxygen
778,interface (dimer of trimers),27947,interface (dimer of trimers)
779,sulfate 1 binding site,27635,sulfate 1 binding site
780,S17 interaction site,27604,s17 interaction site
781,HXXH motif,27379,hxxh motif
782,METAL: Calcium 2; via carbonyl oxygen.,27332,metal: calcium 2; via carbonyl oxygen
783,dinuclear metal binding motif,27324,dinuclear metal binding motif
784,ACT_SITE: Nucleophile and sulfur donor.,27274,act_site: nucleophile and sulfur donor
785,REGION: Pyrroloquinoline quinone binding.,27269,region: pyrroloquinoline quinone binding
786,putative homodimer-homodimer interface,27195,homodimer homodimer interface
787,hexamer (dimer of trimers) interface,27125,hexamer (dimer of trimers) interface
788,putative carbohydrate binding site,27078,carbohydrate binding site
789,metal binding site A,27017,metal binding site a
790,thiS-thiF interaction site,26920,this thif interaction site
791,activator binding site,26874,activator binding site
792,BINDING: Coenzyme A; via carbonyl oxygen.,26816,binding: coenzyme a; via carbonyl oxygen
793,SITE: Cleavage; by autolysis.,26550,site: cleavage; by autolysis
794,METAL: Iron (heme 3 axial ligand).,26512,metal: iron (heme 3 axial ligand)
795,positions Lys,26416,positions lys
796,putative radical transfer pathway,26347,radical transfer pathway
797,peroxidatic and resolving cysteines,26288,peroxidatic and resolving cysteines
798,BINDING: L-tryptophan.,26082,binding: l tryptophan
799,Fe binding site,26081,fe binding site
800,predicted 30S ribosome binding site,26068,predicted 30s ribosome binding site
801,dimerization domain swap beta strand,25910,dimerization domain swap beta strand
802,Helps position phosphoryl group,25747,helps position phosphoryl group
803,putative cAMP binding site,25733,camp binding site
804,N-acetyl-L-glutamate binding site,25726,n acetyl l glutamate binding site
805,sequence specific DNA binding site,25722,sequence specific dna binding site
806,DCoH dimer interaction site,25634,dcoh dimer interaction site
807,8-oxo-dGMP binding site,25519,8 oxo dgmp binding site
808,acid (promotes elim of OH),25451,acid (promotes elim of oh)
809,facilitates removal of Mg2+ PPi product complex formed in both half-reactions,25403,facilitates removal of mg2+ ppi product complex formed in both half reactions
810,DCoH /HNF-1 dimer interaction site,25341,dcoh /hnf 1 dimer interaction site
811,decamer (pentamer of dimers) interface,25296,decamer (pentamer of dimers) interface
812,DCoH tetramer interaction site,25282,dcoh tetramer interaction site
813,controls pKa of catalytic His,25239,controls pka of catalytic his
814,active site clefts,25151,active site clefts
815,non-specific DNA interactions,25146,non specific dna interactions
816,NP_BIND: FMN binding.,24966,np_bind: fmn binding
817,aromatic arch,24939,aromatic arch
818,BINDING: Heme 2 (covalent).,24926,binding: heme 2 (covalent)
819,Cl binding site,24822,cl binding site
820,"binds phosphate moiety of substrate, positions water",24739,"binds phosphate moiety of substrate, positions water"
821,putative PHP Thumb interface,24684,php thumb interface
822,BINDING: Heme 1 (covalent).,24641,binding: heme 1 (covalent)
823,ferroxidase diiron center,24609,ferroxidase diiron center
824,Substrate Binding Site I,24502,substrate binding site i
825,"positions nucleophilic Asp, binds phosphate moiety of substrate",24460,"positions nucleophilic asp, binds phosphate moiety of substrate"
826,putative Mg ion binding site,24459,mg ion binding site
827,GXXG motif,24452,gxxg motif
828,Substrate Binding Site II,24241,substrate binding site ii
829,putative allosteric switch controlling residues,24193,allosteric switch controlling residues
830,dockerin binding interface,24179,dockerin binding interface
831,REGION: D-ribulose 5-phosphate binding.,23965,region: d ribulose 5 phosphate binding
832,BINDING: D-ribulose 5-phosphate.,23965,binding: d ribulose 5 phosphate
833,putative substrate interface,23855,substrate interface
834,MoaD interaction,23842,moad interaction
835,Hpr binding site,23804,hpr binding site
836,thiS-thiG interaction site,23783,this thig interaction site
837,putative L-serine binding site,23582,l serine binding site
838,METAL: Zinc 4.,23381,metal: zinc 4
839,domain crossover interface,23258,domain crossover interface
840,binuclear metal-binding site,23177,binuclear metal binding site
841,putative switch regulator,23167,switch regulator
842,proton abstraction (general base),22917,proton abstraction (general base)
843,tetramer interfaces,22914,tetramer interfaces
844,MoaE homodimer interface,22906,moae homodimer interface
845,carbohydrate binding site,22630,carbohydrate binding site
846,L21e interface,22294,l21e interface
847,pantoate-binding site,22237,pantoate binding site
848,putative NADP binding site,21878,nadp binding site
849,L-serine binding site,21760,l serine binding site
850,SITE: May be important for catalysis.,21759,site: may be important for catalysis
851,glycerol binding site,21662,glycerol binding site
852,homohexamer subunit interaction site,21653,homohexamer subunit interaction site
853,SITE: Important for substrate recognition.,21625,site: important for substrate recognition
854,binding pocket,21610,binding pocket
855,quinone interaction residues,21428,quinone interaction residues
856,Rpb1 (beta') - Rpb6 (omega) interaction site,21344,rpb1 (beta') rpb6 (omega) interaction site
857,Hexagonal pore residue,21339,hexagonal pore residue
858,putative molybdopterin cofactor binding site,21297,molybdopterin cofactor binding site
859,BINDING: Heme (covalent; via pros nitrogen).,21189,binding: heme (covalent; via pros nitrogen)
860,METAL: Nickel; via tele nitrogen.,21123,metal: nickel; via tele nitrogen
861,ANP binding site,21097,anp binding site
862,FBP binding site,21068,fbp binding site
863,ACT_SITE: Amidino-cysteine intermediate.,20905,act_site: amidino cysteine intermediate
864,SITE: Critical for activity.,20896,site: critical for activity
865,Subunit I/III interface,20864,subunit i/iii interface
866,citrylCoA binding site,20831,citrylcoa binding site
867,homodimer interaction site,20711,homodimer interaction site
868,BINDING: Allantoate; via carbonyl oxygen.,20640,binding: allantoate; via carbonyl oxygen
869,BINDING: Allantoate.,20640,binding: allantoate
870,ACT_SITE: Proton acceptor; via imino nitrogen.,20621,act_site: proton acceptor; via imino nitrogen
871,MoaD-MoeB interaction site,20596,moad moeb interaction site
872,Metal-binding active site,20545,metal binding active site
873,MoaD-MoaE interaction site,20491,moad moae interaction site
874,putative cataytic base,20362,cataytic base
875,DNA intercalation site,20357,dna intercalation site
876,"interacts with phosphate oxygen, facilitating hydrolysis",20336,"interacts with phosphate oxygen, facilitating hydrolysis"
877,nucleophile,20330,nucleophile
878,general acid/base,20330,general acid/base
879,METAL: Iron (heme 5 axial ligand).,20328,metal: iron (heme 5 axial ligand)
880,ACT_SITE: Schiff-base intermediate with DNA.,20312,act_site: schiff base intermediate with dna
881,trimer interface A,20289,trimer interface a
882,DPS ferroxidase diiron center,20261,dps ferroxidase diiron center
883,ACT domain interface,20215,act domain interface
884,trimer interface B,20186,trimer interface b
885,putative cation binding site,20152,cation binding site
886,Sm1 motif,20067,sm1 motif
887,GSH binding site,20058,gsh binding site
888,BINDING: Heme 5; covalent.,19828,binding: heme 5; covalent
889,proximal quinone binding site,19793,proximal quinone binding site
890,heme-binding residues,19688,heme binding residues
891,putative Iron-sulfur protein interface,19560,iron sulfur protein interface
892,substrate binding pocket (H-site),19502,substrate binding pocket (h site)
893,Cl- binding residues,19440,cl binding residues
894,Cl- selectivity filter,19401,cl selectivity filter
895,putative NADH binding site,19346,nadh binding site
896,Sm2 motif,19013,sm2 motif
897,DNA interaction,18969,dna interaction
898,Binds S-adensosylmethionine,18718,binds s adensosylmethionine
899,ACT_SITE: N6-AMP-lysine intermediate.,18661,act_site: n6 amp lysine intermediate
900,mismatch recognition site,18637,mismatch recognition site
901,THF binding site,18634,thf binding site
902,putative tRNAtyr binding site,18536,trnatyr binding site
903,Schiff base residues,18521,schiff base residues
904,redox-dependent activation switch,18236,redox dependent activation switch
905,thiamine binding site,18225,thiamine binding site
906,putative HM ion binding site,18213,hm ion binding site
907,METAL: Divalent metal cation 1; via tele nitrogen.,18146,metal: divalent metal cation 1; via tele nitrogen
908,METAL: Divalent metal cation 2; via tele nitrogen.,18146,metal: divalent metal cation 2; via tele nitrogen
909,METAL: Divalent metal cation 2; via pros nitrogen.,18145,metal: divalent metal cation 2; via pros nitrogen
910,transmembrane helices,18113,transmembrane helices
911,eyelet of channel,18054,eyelet of channel
912,METAL: Iron (heme axial ligand); shared with dimeric partner.,18051,metal: iron (heme axial ligand); shared with dimeric partner
913,REGION: Chorismate binding.,18015,region: chorismate binding
914,REGION: Tryptophan binding.,18015,region: tryptophan binding
915,putative HsdM interface,17976,hsdm interface
916,METAL: Zinc 2; via carbamate group.,17946,metal: zinc 2; via carbamate group
917,METAL: Zinc 1; via carbamate group.,17946,metal: zinc 1; via carbamate group
918,Q-X-W motif,17901,q x w motif
919,putative AP binding site,17899,ap binding site
920,intersubunit interactions,17775,intersubunit interactions
921,ThiS interaction site,17723,this interaction site
922,ADP-binding pocket,17716,adp binding pocket
923,protein IIAGlc interface,17714,protein iiaglc interface
924,Hexamer interface,17676,hexamer interface
925,hydrophilic channel,17649,hydrophilic channel
926,putative sugar binding sites,17594,sugar binding sites
927,BINDING: L-tryptophan; via carbonyl oxygen.,17593,binding: l tryptophan; via carbonyl oxygen
928,ion pore,17495,ion pore
929,forms cationic cavity that facilitates hydrolysis of phosphate,17395,forms cationic cavity that facilitates hydrolysis of phosphate
930,active site nucleophile,17372,active site nucleophile
931,putative GSH binding site,17244,gsh binding site
932,Nuceophile,17188,nuceophile
933,"Nucleophile, Methyl donor",17188,"nucleophile, methyl donor"
934,putative metal binding site B,16954,metal binding site b
935,oxalacetate/citrate binding site,16945,oxalacetate/citrate binding site
936,CysD dimerization site,16937,cysd dimerization site
937,metal binding sites,16816,metal binding sites
938,METAL: Nickel.,16725,metal: nickel
939,additional DNA contacts,16624,additional dna contacts
940,AP binding site,16601,ap binding site
941,Substrate specificity,16595,substrate specificity
942,Iron-sulfur protein interface,16439,iron sulfur protein interface
943,Rab family motif 5 (RabF5),16373,rab family motif 5 (rabf5)
944,Rab family motif 4 (RabF4),16337,rab family motif 4 (rabf4)
945,Qo binding site,16250,qo binding site
946,Di-iron ligands,16216,di iron ligands
947,glycine loop,16165,glycine loop
948,"base (abstracts alpha proton), acid (donates proton to leaving group)",16162,"base (abstracts alpha proton), acid (donates proton to leaving group)"
949,stabilizes intermediate through cation-pi interaction,16162,stabilizes intermediate through cation pi interaction
950,Pyrimidine base specificity,16133,pyrimidine base specificity
951,dimer interaction site,16046,dimer interaction site
952,uracil binding,16030,uracil binding
953,steroid binding site,16023,steroid binding site
954,FliM/FliG interface,15998,flim/flig interface
955,ACT_SITE: Glycyl thioester intermediate.,15980,act_site: glycyl thioester intermediate
956,METAL: Iron (heme 4 axial ligand).,15924,metal: iron (heme 4 axial ligand)
957,catalytic base,15921,catalytic base
958,effector interaction site,15891,effector interaction site
959,Rab family motif 3 (RabF3),15829,rab family motif 3 (rabf3)
960,metal binding site B,15823,metal binding site b
961,putative threonine allosteric regulatory site,15802,threonine allosteric regulatory site
